Date,Open,High,Low,Close
2020-01-01,129.16000000,133.05000000,128.68000000,130.77000000
2020-01-02,130.72000000,130.78000000,126.38000000,127.19000000
2020-01-03,127.19000000,135.14000000,125.88000000,134.35000000
2020-01-04,134.37000000,135.85000000,132.50000000,134.20000000
2020-01-05,134.20000000,138.19000000,134.19000000,135.37000000
2020-01-06,135.37000000,144.41000000,134.86000000,144.15000000
2020-01-07,144.14000000,145.31000000,138.76000000,142.80000000
2020-01-08,142.80000000,147.77000000,137.03000000,140.72000000
2020-01-09,140.76000000,141.50000000,135.30000000,137.74000000
2020-01-10,137.73000000,145.17000000,135.32000000,144.84000000
2020-01-11,144.83000000,148.05000000,142.09000000,142.38000000
2020-01-12,142.40000000,146.60000000,141.76000000,146.54000000
2020-01-13,146.56000000,147.00000000,142.27000000,143.58000000
2020-01-14,143.58000000,171.70000000,143.51000000,165.64000000
2020-01-15,165.60000000,171.98000000,159.20000000,166.40000000
2020-01-16,166.40000000,167.40000000,157.80000000,164.21000000
2020-01-17,164.24000000,174.81000000,162.14000000,169.85000000
2020-01-18,169.92000000,179.50000000,164.92000000,174.14000000
2020-01-19,174.10000000,178.05000000,161.66000000,166.79000000
2020-01-20,166.79000000,169.33000000,161.24000000,166.87000000
2020-01-21,166.86000000,170.32000000,164.80000000,169.49000000
2020-01-22,169.48000000,171.47000000,166.03000000,168.07000000
2020-01-23,168.07000000,168.20000000,159.21000000,162.81000000
2020-01-24,162.85000000,164.45000000,155.55000000,162.54000000
2020-01-25,162.51000000,162.79000000,157.61000000,160.35000000
2020-01-26,160.36000000,168.08000000,159.41000000,167.86000000
2020-01-27,167.91000000,172.56000000,165.22000000,170.08000000
2020-01-28,170.04000000,176.20000000,170.03000000,175.64000000
2020-01-29,175.58000000,178.45000000,173.33000000,173.72000000
2020-01-30,173.68000000,187.00000000,170.93000000,184.69000000
2020-01-31,184.71000000,185.82000000,175.22000000,179.99000000
2020-02-01,179.94000000,184.28000000,179.23000000,183.60000000
2020-02-02,183.63000000,193.43000000,179.10000000,188.44000000
2020-02-03,188.48000000,195.19000000,186.62000000,189.69000000
2020-02-04,189.74000000,191.60000000,184.69000000,188.91000000
2020-02-05,188.91000000,207.61000000,188.19000000,203.78000000
2020-02-06,203.78000000,216.33000000,201.02000000,213.19000000
2020-02-07,213.16000000,225.00000000,213.14000000,223.33000000
2020-02-08,223.36000000,227.75000000,213.22000000,223.05000000
2020-02-09,223.01000000,230.65000000,222.86000000,228.49000000
2020-02-10,228.53000000,229.40000000,216.37000000,222.89000000
2020-02-11,222.89000000,239.15000000,218.17000000,236.69000000
2020-02-12,236.69000000,275.34000000,236.69000000,265.74000000
2020-02-13,265.74000000,277.69000000,256.08000000,268.32000000
2020-02-14,268.34000000,287.15000000,260.28000000,285.15000000
2020-02-15,285.11000000,288.41000000,261.86000000,264.88000000
2020-02-16,264.91000000,274.00000000,237.41000000,258.85000000
2020-02-17,258.89000000,268.77000000,242.00000000,267.85000000
2020-02-18,267.90000000,285.88000000,258.00000000,282.61000000
2020-02-19,282.64000000,285.00000000,251.56000000,258.45000000
2020-02-20,258.44000000,264.33000000,245.34000000,256.96000000
2020-02-21,256.97000000,268.24000000,253.61000000,265.27000000
2020-02-22,265.32000000,266.81000000,256.00000000,261.57000000
2020-02-23,261.55000000,275.68000000,261.02000000,274.48000000
2020-02-24,274.50000000,277.20000000,257.09000000,265.52000000
2020-02-25,265.47000000,266.22000000,244.44000000,246.67000000
2020-02-26,246.67000000,250.32000000,215.66000000,223.93000000
2020-02-27,223.98000000,238.30000000,210.00000000,227.79000000
2020-02-28,227.73000000,234.67000000,214.01000000,226.76000000
2020-02-29,226.76000000,233.00000000,217.00000000,217.21000000
2020-03-01,217.29000000,227.89000000,212.36000000,217.81000000
2020-03-02,217.81000000,234.40000000,216.07000000,231.97000000
2020-03-03,232.10000000,232.46000000,219.57000000,223.91000000
2020-03-04,223.84000000,228.85000000,220.23000000,224.26000000
2020-03-05,224.26000000,234.09000000,224.23000000,228.38000000
2020-03-06,228.38000000,245.16000000,227.33000000,244.88000000
2020-03-07,244.93000000,251.93000000,236.00000000,237.23000000
2020-03-08,237.23000000,237.23000000,195.50000000,199.43000000
2020-03-09,199.43000000,208.62000000,190.00000000,202.81000000
2020-03-10,202.79000000,206.20000000,195.54000000,200.70000000
2020-03-11,200.74000000,203.18000000,181.73000000,194.61000000
2020-03-12,194.61000000,195.55000000,101.20000000,107.82000000
2020-03-13,107.67000000,139.68000000,86.00000000,134.06000000
2020-03-14,134.06000000,134.68000000,120.00000000,122.54000000
2020-03-15,122.54000000,133.50000000,120.16000000,123.78000000
2020-03-16,123.82000000,124.33000000,101.10000000,111.02000000
